Date,X000001.CH.EQUITY,X000002.CH.EQUITY,X000069.CH.EQUITY,X000166.CH.EQUITY,X000402.CH.EQUITY,X000415.CH.EQUITY,X000627.CH.EQUITY,X000656.CH.EQUITY,X000671.CH.EQUITY,X000728.CH.EQUITY,X000776.CH.EQUITY,X000783.CH.EQUITY,X000961.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X002146.CH.EQUITY,X002673.CH.EQUITY,X002736.CH.EQUITY,X002939.CH.EQUITY,X002945.CH.EQUITY,X002958.CH.EQUITY,X101.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X1299.HK.EQUITY,X1398.HK.EQUITY,X1432.TT.EQUITY,X1436.TT.EQUITY,X1437.TT.EQUITY,X1442.TT.EQUITY,X1463.TT.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1805.TT.EQUITY,X1808.TT.EQUITY,X1903.TT.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X2318.HK.EQUITY,X2388.HK.EQUITY,X2501.TT.EQUITY,X2505.TT.EQUITY,X2506.TT.EQUITY,X2509.TT.EQUITY,X2511.TT.EQUITY,X2514.TT.EQUITY,X2520.TT.EQUITY,X2524.TT.EQUITY,X2527.TT.EQUITY,X2528.TT.EQUITY,X2530.TT.EQUITY,X2534.TT.EQUITY,X2536.TT.EQUITY,X2537.TT.EQUITY,X2538.TT.EQUITY,X2539.TT.EQUITY,X2540.TT.EQUITY,X2542.TT.EQUITY,X2545.TT.EQUITY,X2548.TT.EQUITY,X2597.TT.EQUITY,X2628.HK.EQUITY,X267.HK.EQUITY,X2701.TT.EQUITY,X2801.TT.EQUITY,X2809.TT.EQUITY,X2812.TT.EQUITY,X2816.TT.EQUITY,X2820.TT.EQUITY,X2823.TT.EQUITY,X2832.TT.EQUITY,X2834.TT.EQUITY,X2836.TT.EQUITY,X2838.TT.EQUITY,X2841.TT.EQUITY,X2845.TT.EQUITY,X2849.TT.EQUITY,X2850.TT.EQUITY,X2851.TT.EQUITY,X2852.TT.EQUITY,X2855.TT.EQUITY,X2867.TT.EQUITY,X2880.TT.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2884.TT.EQUITY,X2885.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2888.TT.EQUITY,X2889.TT.EQUITY,X2890.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X2897.TT.EQUITY,X2905.TT.EQUITY,X2923.TT.EQUITY,X300059.CH.EQUITY,X3040.TT.EQUITY,X3056.TT.EQUITY,X3266.TT.EQUITY,X3328.HK.EQUITY,X388.HK.EQUITY,X3988.HK.EQUITY,X5.HK.EQUITY,X5519.TT.EQUITY,X5522.TT.EQUITY,X5525.TT.EQUITY,X5531.TT.EQUITY,X5533.TT.EQUITY,X5534.TT.EQUITY,X5871.TT.EQUITY,X5876.TT.EQUITY,X5880.TT.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X600036.CH.EQUITY,X600048.CH.EQUITY,X600061.CH.EQUITY,X600109.CH.EQUITY,X600208.CH.EQUITY,X600340.CH.EQUITY,X600369.CH.EQUITY,X600383.CH.EQUITY,X600390.CH.EQUITY,X6005.TT.EQUITY,X600606.CH.EQUITY,X600663.CH.EQUITY,X600816.CH.EQUITY,X600837.CH.EQUITY,X600848.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601009.CH.EQUITY,X601066.CH.EQUITY,X601108.CH.EQUITY,X601155.CH.EQUITY,X601162.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601198.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X601236.CH.EQUITY,X601288.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601328.CH.EQUITY,X601336.CH.EQUITY,X601377.CH.EQUITY,X601398.CH.EQUITY,X601555.CH.EQUITY,X601577.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601818.CH.EQUITY,X601828.CH.EQUITY,X601838.CH.EQUITY,X601878.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X6024.TT.EQUITY,X6177.TT.EQUITY,X6592.TT.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,X83.HK.EQUITY,X939.HK.EQUITY,X9940.TT.EQUITY,X9941.TT.EQUITY,X9945.TT.EQUITY,X9946.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
20190103,0.00974561,0.007087793,0.001673641,0.022032715,-0.017502436,0.008462674,-0.008952611,0.011428696,0.005808342,0.026743325,0.00732604,0.049628504,0,0.005924188,0.006855745,-0.011531198,0.019367939,0.021454935,0.017250555,0,0,-0.002747254,-0.028732554,0.026202372,0.00449439,0.011693365,-0.017618632,0.001839927,-0.009558018,0.004253237,0,0,0.003960401,0.028987537,0.003937013,0.001086366,0.009357463,0,-0.002181026,-0.039891329,-0.008175445,-0.017730961,0.007623925,-0.020367303,-0.004357305,0.008435479,0.004938282,-0.00893567,0.016647233,-0.009624713,0.017857617,-0.014870162,-0.003149609,-0.002089865,-0.002580647,-0.009950331,0.016064603,0,0,0.012283795,0.001958864,0.01027155,-0.012552466,-0.011173301,0.025022156,-0.003929278,0,-0.022908491,0,0.017699577,0.00732604,0,0.005102052,0.009132484,0.001139601,0.001125493,0.002457004,-0.002057614,-0.003838776,0,-0.00292826,0,0.012578782,0.004415018,0.006042314,-0.006528859,-0.016444815,-0.005211059,0,-0.006600684,0,0,-0.022499469,0.00316623,0.004914015,0.005012542,0.00508907,-0.001252348,-0.013841051,-0.013351333,0.011778462,0.008071069,0.00293686,0,0.006688988,-0.003610112,0.003007521,-0.000790202,-0.008298803,0.014556298,0,0.009901071,0.01569891,0.006389798,-0.011298362,0,0.005252419,0.011276388,0.005457039,0.003533573,0,0.012538081,0.016095223,0.036772946,0.020733293,-0.003478264,-0.003984069,0.036165276,0.010582109,0.014483012,0.00671895,-0.003305788,-0.020077466,0.011299555,0.020339684,-0.0319516,0.005037794,0.006770507,0,0.023328252,0.009719703,0.006259801,0.047813443,0.015120563,0.004542647,0.014635278,0.007434978,0.00896867,0.014659948,0.025642431,0.0144191,0,0.005665738,0.009020447,0.020619287,0.019214565,0.014023441,0.028542003,0,0.02198919,0.004728141,0.019158367,0.0104713,0.0207451,0.020362695,0.027028672,-0.024437306,0.005031457,0.017968694,0.017467693,0.09531018,0.001598721,0.002820876,0.003833702,0.001874415,0.031242155,-0.005225842,-0.011356589,0.023347364,-0.000639591,0.043129361,0.003184716,0,0.006604647,0.013350708,0,-0.017437007,0.03338589,-0.049,-0.016,-0.033
20190104,0.049405738,0.035105646,0.024774182,0.067862289,0.037799776,0.038572275,0.02311214,0,0.028546182,0.09531018,0.069695517,0.075304383,0.040462864,0.025657384,0.021506205,0.024189594,0.071547151,0.074949936,0.094944282,0,0,0.03646589,-0.001786246,0.025533302,0.054114423,0.049166368,0.025539968,0.014598799,-0.0329499,-0.00163372,0,-0.003231021,-0.00793655,0.047088036,0.047947822,0.001085187,0,0.011637704,0.003269758,0.052106917,0.002236304,0.005352377,-0.002534856,-0.016597891,0.004357305,-0.003205131,-0.004938282,-0.005824745,0.007050558,0.001932368,0.00881063,0,-0.006329135,0,0.007722046,-0.005012542,-0.008000043,0.003760188,-0.028882874,0.004429686,-0.003921574,0.00437,0.024949319,0.023443393,0.017959666,-0.003944778,0,0.005333346,-0.005194817,-0.015151805,0.007272759,-0.008768781,-0.002547772,-0.004048589,-0.002280503,-0.001125493,-0.004920059,-0.001030397,0,0,0,-0.003442344,0.016529302,0.004395611,-0.006042314,-0.010977059,-0.013307967,-0.018987912,0.004783427,0,-0.007889587,-0.007039528,-0.030397477,-0.004223871,-0.014815086,-0.010050336,-0.002541297,-0.007547206,-0.025883798,0.002684565,0.064526011,0,-0.00588237,-0.008928631,0.008298803,0.025882748,0.01194044,0.017241806,-0.004175371,-0.007251663,-0.009589844,-0.004938282,-0.01569891,0.010139504,0.010352934,-0.001274373,-0.002331003,0.015174798,0.018868484,0.019214565,0,0.025006264,0.02735355,0.094912249,0.07508463,0.020690393,0.037607252,0.096303229,0.035163912,0.054139292,-0.007843177,0.019672766,0.013183739,0.06313304,0.068097616,0.025155457,0.019901154,0.021362628,0,0.069154671,0.064119907,0.021605779,0.095211468,0.094938041,0.033626826,0.095406818,0.023295563,0.01594365,0.079882772,0.059581636,0.010765862,0,0.014025475,0.016211275,0.04711016,0.013745921,0.041849078,0.090971778,0.013371737,0.095408334,0.037041272,0.036904557,0.016236519,0.066009359,0.086824723,0.023716527,0.017916557,0.032101522,0.09531018,0.093603359,0.094842271,0.015848192,0.008415197,0.02604653,0.018553408,-0.007444746,-0.007513183,-0.016635061,0.019048195,0.035201623,0.03854867,0.0188982,-0.006825965,0.00107662,0.008802466,0,0.033306293,-0.090832805,0.007,-0.009,0.016
20190107,-0.001026167,0.00480193,0.009740337,-0.009090972,0.028943376,0.005390849,0,-0.026317308,0.003745323,-0.013986242,0.009036206,-0.017422043,0.011996716,0.01429004,0.006060625,0.002512564,-0.005970167,-0.009895628,-0.005504601,0,0,0.017094433,0.005349196,0.001679262,0.027651531,0.013439256,-0.002369819,0.00361664,-0.003729029,0.004242134,0.008298803,-0.003241494,0.00793655,0.006791198,0.014870162,0.006486509,0.029221034,-0.004971013,0.022593753,0.015334364,0.00297398,0.001777778,0.002534856,0.004175371,0,0.023399838,0.029270382,0.025689486,-0.004694844,0.011516442,0.015234245,0.007462721,0.006329135,0.019679558,0.007662873,0.010000083,-0.00402415,0,-0.018484815,0.007705046,0.009775249,0.012996573,0.038272546,0.015729302,-0.003241494,0.003944778,0.028565043,0.010582109,0.010362787,0.005076153,0,0.016017816,0.00508907,0.024049255,0.018100042,0.011198325,0.004920059,0.009235571,-0.003853569,0.007137789,0.00584797,0.010291686,0.024292693,0,0.022769108,0.014246816,0.014427662,0.031449133,0.004760654,0.02614528,0.013766196,0.026337696,0.072607729,0.008429976,0.034233172,0.015037877,0.007604599,0.00126183,0.005349196,0.04712914,0.002342909,0,0.029071815,0.00447428,0.009868501,0.017467693,0.002962965,0.00851069,0.020704673,0,0.004806418,0.009852296,0.02191011,0.003775964,0.017192401,0.003564159,0.002331003,0.002006019,-0.005354765,-0.003466208,0,0.000391926,-0.005740073,-0.013019713,-0.00508907,0.006802747,0.014882931,0.012330612,0.004056801,-0.005528469,0.007843177,0.011299555,0.01673794,-0.008474627,0.003129893,0.034940142,-0.003289477,-0.003970885,0,-0.018286224,-0.012640618,-0.001527884,0.007866314,-0.016260521,0.003579244,0.069518851,-0.001975634,-0.00352113,-0.007707167,0.001787311,-0.004500613,0,-0.005586607,-0.005137756,-0.016057437,-0.005132603,-0.069601589,0.005911347,-0.005708864,-0.005342344,0.011299555,-0.021626235,-0.012770311,-0.000565451,-0.005146692,0,0.011152532,-0.001215806,0,-0.007915609,0.095168346,-0.003149609,-0.002797205,-0.001028939,-0.003683245,0.00416713,0.00900907,-0.001291156,0.00938974,0.004314336,0.002797205,0.001558847,0.010221554,0.010821201,0.017602466,0.004319661,0.002282816,-0.008022506,0.007,-0.007,0.014
20190108,-0.008247469,-0.001998003,-0.01137299,0.004555817,0.002998503,0.021277398,-0.010600806,-0.010050336,-0.001870908,0.001279591,-0.004507896,0.001755927,-0.011996716,0.00113443,-0.016448741,-0.005031457,0.001196888,-0.00554018,-0.010171146,0,0,0.003903713,0.011199646,-0.011814483,0.032523192,0.009644967,0.010995777,-0.00361664,-0.016321768,-0.001303356,0.005494519,0.006472515,-0.003960401,0.010938266,0.030883472,0.003227544,-0.005553513,-0.010016778,0.003186407,-0.020868412,-0.011949358,0.007079676,-0.015306421,0,-0.00873368,0.003131118,-0.004819286,0,-0.009456335,-0.009587801,-0.01085787,-0.007462721,-0.006329135,-0.011692018,0,0.006611594,0.00402415,0,-0.00937214,-0.009917437,0.024977283,0.004294924,0.007874056,-0.004813487,-0.003252035,0,-0.013889112,-0.003514942,-0.00516797,-0.007623925,0,-0.009069534,0.005063302,0,-0.00224467,-0.001114206,0,0,-0.003868477,0,0,-0.006849342,0,-0.00881063,-0.005346018,-0.005455551,-0.001119696,-0.005173317,0,0.003220615,-0.003913899,-0.007674635,-0.00691247,-0.003152919,-0.014528101,-0.007490672,-0.002528446,-0.005056901,-0.002373888,-0.055204554,-0.005443978,0,-0.005747142,-0.00447428,0.006525309,-0.007822726,0,-0.002313923,0,-0.002915454,0.016904787,-0.009852296,-0.018750549,-0.019024036,0.007923075,-0.006117786,0.005803847,-0.002006019,-0.005383593,-0.00173762,0,-0.011825128,-0.014078907,-0.00404041,0.011414201,-0.003395589,-0.019507216,0.06177736,-0.006091389,0.010865265,0.001115449,-0.004827041,-0.006825965,-0.008547061,-0.005221944,-0.017078214,-0.001648805,-0.006653384,0,0,-0.009943264,-0.004597709,0.04219226,0,0,-0.012396228,0.003947374,0.001762115,-0.002905571,-0.000595415,-0.000925712,0,-0.011267725,-0.008920666,-0.0199825,0.003424661,-0.029561271,0.005876608,-0.007662873,0.003939229,-0.010163837,-0.015636424,-0.011934503,0.003951459,-0.001032525,-0.005221944,-0.003703708,-0.013472341,0.002487563,0.001323627,0.044390089,0,-0.008438869,-0.007361996,0.001843318,-0.020341183,0.003729956,0.007593833,0.001867414,-0.01113184,0.004181191,0,0.011794576,0.002126655,-0.015298848,-0.016514934,0.004550058,-0.016650131,-0.018,-0.07,0.052
20190109,0.028573372,0.013113639,0.019418086,0,0.023669744,-0.007926065,0.00531445,-0.003372684,0.005602256,-0.00770222,0.012719962,-0.007042283,-0.005185837,0.000566733,0.012816776,0.016260521,-0.004796172,-0.007808182,0.008329525,0,0,0.010336009,0.023176008,0.04482078,0.017446914,0.009579021,0.029245862,0.030332388,0.002528446,0.002605016,0.005464494,-0.006472515,0.003960401,0.004175371,0.005352377,0,0.003705767,0.010016778,0.020987129,0.014325314,0.023023668,0.029541679,0.005128216,-0.00836825,0,0.042087313,0.009615459,0.005677435,0.011806513,0.009587801,0.008695707,0.011173301,-0.003179653,0.015445648,0.002541297,0.009836145,0,-0.005435932,0.013096539,0.02082267,0.018797546,0.023995506,0.005865119,0.035548767,0.01615544,0,0.025317808,0.001759015,0.009283202,0.00508907,0.010810916,0.010873612,0.005037794,0.013766196,0.004484312,0.014388737,0.007334996,0.010162689,0.011560822,0.009908078,0.00291121,0.006849342,0.011928571,0.00881063,0.013605652,0.029112568,0.017546258,0.020534602,0.019854362,0.009600074,0.013632149,0.015290818,0.004613618,0.01462931,0.024097552,0.01492565,0.012578782,0.007575794,0.008284071,0.072949,-0.001601281,0.003210276,-0.008683123,0.00447428,0.014528101,0.028389003,0.011764842,0.011516442,0.016260521,0.018800265,0.002615748,0.019608471,0.006289329,0.016508311,0.043814336,0.018493244,0.011507607,0.003007521,0.005383593,0.00173762,0,0.018853661,0.012432817,-0.004056801,-0.007594973,0,0.008844511,-0.009259325,0.02613214,-0.00404041,0.018774709,0.004827041,0.001551308,-0.00645858,0.013520747,-0.005277057,0,0.002666668,0,-0.016279429,0.004273511,0.007651147,0.045879606,-0.002525254,-0.011980974,0.027308524,0.008499561,0,-0.002914038,0.001190476,-0.003479071,0,0.005649733,0.020399821,0.003663008,0.005115101,0.006336354,0.017425417,0.011472401,-0.007894036,0,0.019507623,0.016865479,0.011204599,0.004123717,0.013004084,0.006472515,0.006146301,0.003719781,0,0.004062294,0.010980502,0.002820876,0.00375235,0.009165967,0.008673467,0.007048814,0,0.007434978,-0.006238323,0.024726534,0.023095715,0.018257769,0.016968402,0.031259623,0.007856871,0.017004661,-0.039253474,-0.005,0.015,-0.02
20190110,0.015968403,-0.008723291,0.004796172,-0.016036999,-0.00881063,-0.005319161,-0.017825784,0.028311633,-0.015009663,-0.009061551,-0.017248272,-0.019625964,-0.015720848,-0.01369103,-0.006082744,-0.012484557,-0.018193346,-0.024944604,-0.029936754,0,0,0,-0.005743841,-0.004882028,-0.007100622,0.001177872,0.013566641,0,0.003780723,-0.006852694,0.00272109,0,0.007874056,0.006644543,0.001777778,-0.002150538,-0.009103639,0.001659751,-0.003120127,0.006543099,0.014577518,-0.001713796,0.007643349,0.004192878,0,-0.022353649,-0.009615459,-0.01086686,-0.011806513,0,-0.002166848,-0.011173301,-0.003189795,0.015546106,0.002534856,0.001629992,-0.00402415,-0.001678557,-0.028277096,0.005408342,0.001860466,0.004175371,0.009699397,0.011574203,0.001601281,0,-0.005698021,-0.00352113,0,-0.00508907,-0.003590668,0,0.002509412,0.00487093,0.002234638,-0.002200221,0.002433091,0,-0.003838776,0.002812941,0,0,0.019570096,0,0,-0.003193191,-0.002204101,0,0.009268861,0,0.009624713,-0.007616183,0,0.004140793,-0.009569451,-0.002472189,0,-0.006309169,-0.011259378,-0.030614636,-0.017401666,0,0.00290276,-0.01348335,-0.008045096,-0.007662873,0,-0.010744539,-0.00809721,0.005714301,-0.002615748,-0.00486619,0.009360443,-0.00631714,0.014220557,0.012224176,0.005135532,-0.003007521,-0.004034975,-0.003478264,0,0.005819609,-0.011599136,-0.019497796,-0.008934329,-0.0102565,-0.012714485,-0.059898142,-0.013986242,-0.017644634,-0.009895628,-0.009677495,-0.002282168,-0.019629856,-0.018770103,-0.023358726,-0.006622541,0.002659576,0,-0.022526145,-0.014316637,-0.003053437,-0.031893364,-0.023018919,-0.014569258,-0.028830826,-0.001955035,0.001759015,-0.021633095,-0.011367158,-0.002675509,0,-0.011331566,0.009611258,-0.018450708,-0.005115101,-0.010923518,-0.021339316,-0.007633625,-0.012102376,-0.019484857,-0.017360932,-0.001476742,-0.023676416,-0.017644464,-0.00778214,-0.015792246,-0.017305747,-0.016219944,-0.017345331,-0.068510362,-0.010980502,-0.008486614,-0.006478385,-0.011009286,-0.006442319,0.017226008,-0.005013186,-0.013047715,-0.007537724,-0.009543358,0,-0.001646091,0.022942048,0.001114455,0,0.005933268,-0.045303914,-0.003,0.014,-0.017
20190111,0.009852296,0.007538223,-0.003194891,0.006904515,0,0.013245227,0,-0.019901154,-0.001892148,0.002597404,0.014269863,0.003597126,0.015720848,0.015389303,0.007294865,0.030923924,0.0061013,0.001147447,0.043666947,0,0,0.007682496,0.008032172,0.019386714,0.014931515,0.008284318,0.00746651,0.003508776,-0.006309169,0,0.005420067,0,-0.003929278,0.009884759,0.010600806,-0.003234504,-0.016560409,-0.004987542,0.010362787,0.017241806,0.006491188,0.003424661,-0.00508907,-0.012631747,0,-0.06000221,0.009615459,-0.014675316,-0.031365659,-0.021215839,-0.004347833,0,0.009539023,-0.007742843,-0.002534856,-0.00817666,-0.012170536,-0.003787086,-0.015414563,-0.001079331,-0.003724399,0,-0.011650617,0.002298852,-0.008032172,-0.003944778,0.005698021,0.005277057,0.010214593,0.007623925,0,0.005392787,-0.010075652,-0.00487093,0.002229655,0.002200221,-0.00365186,0,-0.003853569,-0.009880109,0,0.003407158,-0.00778214,0,0.002933414,-0.020463827,-0.006419502,0.001015744,0.005112486,0.009508788,-0.003838776,-0.003829955,-0.022106776,-0.002068253,0,-0.004962789,0,0,0.011259378,0.035627178,0.011919092,0.004796172,-0.00290276,0.00900907,0.017614547,0.004264399,0,0.009216655,-0.004073325,-0.01579358,0.016623759,-0.029705154,0.00619197,-0.002538072,-0.009425324,0.009623763,0.002841718,0.008995563,0.005376357,0.00521287,0.010068193,0.023323558,-0.000833681,0.003103986,0.012739026,0.003430535,0.012331563,0.002466092,0.015968403,0.00131774,0,0.012882626,0.002282168,0.002200221,0.006295928,0.007847024,0.004971013,0,0,-0.016929062,0.004316553,0,-0.005571045,0.009014871,0.010543488,0.017966815,0.004555817,0.007005283,0.000993542,0.003003907,0.005343879,0,0.005681833,0.009864232,0.020277192,0.011894788,0.008647053,0.025170738,0.003824096,0.008131866,0.008069208,-0.003580383,0.007361996,0.013597943,0.00730311,0.00778214,0.017633868,0.002490661,0.016219944,0.009377162,-0.016047026,0.003149609,0.002836881,0.003633065,0.001843318,-0.001114952,0.003627135,0.002574004,0.029577017,0.005658613,-0.005494519,0.001520913,0.003289477,-0.001021161,-0.001114455,-0.003484324,-0.004446648,-0.051668635,-0.006,-0.003,-0.003
20190114,-0.008862687,-0.011128891,-0.014504686,-0.009216655,0.00147384,-0.002635048,0.005381179,-0.005037794,-0.003795071,-0.010430342,-0.004484312,-0.001796946,0.00690849,-0.016538729,-0.009126927,0.009697046,-0.00732604,-0.005750447,-0.020202707,0,0,-0.01542447,-0.013229989,-0.011263192,-0.028482938,0,-0.002979918,-0.014109582,-0.010178205,0.004247678,-0.002706362,-0.003252035,-0.003944778,-0.01154176,-0.007054703,-0.017429635,0.009254953,-0.003338901,0.006166515,-0.030371098,-0.008664314,-0.01030937,0.007623925,-0.012793351,-0.004395611,-0.00694022,-0.009615459,0.005791014,-0.022305758,-0.039766671,0.002176279,-0.00375235,-0.006349228,0,-0.007643349,0.004914015,-0.004089985,0,-0.025566781,-0.001080497,-0.003738322,0.011049836,-0.005876608,-0.031489482,-0.01790121,-0.003960401,-0.014306396,0,0,-0.015306421,-0.003603608,-0.038002381,-0.005076153,0,-0.004464293,-0.001099505,-0.002442004,0,-0.003868477,-0.001419447,0,-0.003407158,0.00389864,-0.022173857,0,-0.020891359,-0.025642431,-0.01020417,0,-0.00315956,0.00192123,0.003829955,-0.037152266,-0.001035733,-0.004819286,0,0,-0.010178205,-0.014243564,-0.040821995,-0.010289725,-0.004796172,-0.00291121,-0.013544225,0.006329135,-0.00768906,-0.011764842,-0.013082141,0.004073325,0.011510918,0.004626068,-0.015190165,-0.021841742,-0.005095552,0.009425324,0.021621151,-0.002841718,0.00099453,-0.012137708,-0.00695655,0.001766265,-0.005685064,-0.018519048,-0.013520747,-0.005076153,-0.010327114,0.003822635,0,-0.009950331,0.002794446,-0.00554018,-0.003205131,-0.00916009,-0.002200221,0.003133162,-0.004406372,-0.006633523,-0.005326244,0,0.001218769,0,-0.010761057,0.015704711,0,0.006834197,-0.01507642,-0.011100343,-0.008764298,-0.008977616,-0.01085656,0.004393071,0,-0.008534902,-0.016494861,-0.014706147,-0.005080451,-0.007370729,-0.015414563,-0.007662873,-0.009421911,-0.015037877,-0.019924586,-0.013786531,0.006171128,-0.005211059,-0.002587324,-0.011100947,-0.00874459,-0.016219944,0.001332445,-0.00294551,-0.009478744,-0.008534902,-0.003633065,0.003676475,-0.003128494,0,-0.003863495,0.001819837,0.001879111,-0.019472103,-0.013772215,-0.001643386,0,-0.011664556,-0.004372547,-0.011955311,0.035495775,0.016,0.009,0.007
20190115,0.012776587,0.005579927,0.003241494,0.020619287,0.005873732,0.013106348,0.005352377,0.008382279,0.005687219,0.025874665,0.029522439,0.038805574,0.010274063,0.019926649,0.012150818,0.017932339,0.019418086,0.023932766,0.047994725,0,0,0.0115906,0.013229989,0.020817405,0.016713481,0.014065872,0.036582389,0.012356733,0.013968481,0,-0.005434796,-0.003262646,0,0.025379995,0.01754431,0.016349138,0.007305455,0.003338901,0.001024066,0.039940549,0.019390195,0.022204157,0.005050516,0.004282662,-0.004415018,-0.003693827,0,0.011482381,0.032061932,0.022067094,0.025752496,-0.015151805,0,0.030290217,0.00255428,-0.004914015,0.004089985,0,-0.016064603,0.007539077,0.003738322,0.009569451,0.009775249,0.041769413,0.00817666,0,0.014306396,0,0,-0.002574004,-0.007246409,-0.005602256,0.005076153,0.00487093,0.002234638,-0.001100716,0.006093864,0,-0.0038835,0.005665738,-0.00291121,0,0.011605546,0.00447428,0.005258557,-0.008928631,-0.01468927,0.012232568,0.004578996,0.02191011,0.005741643,0.007616183,0.016949558,0.002070394,0.009615459,0.002484473,-0.00250313,0.007643349,-0.002993118,0.012936791,0.036760896,0.003200003,0.00581397,-0.009132484,0.015649772,0.016163687,0.014684552,0.008484432,-0.012270093,0.007127614,-0.004626068,0.001019888,-0.00315956,0.007633625,0.013925795,0.016210128,0.008501043,0.004957868,0.010796326,0.010416761,0.034685558,0.018452792,-0.007675944,0.025841231,0.017654935,0.006896579,0.018147946,0.026733062,0.00796817,0.022881323,0.002219757,0,0.00916009,0.019629856,0.02776528,0.024237735,0.006633523,0.007978766,0,0.019300961,0.022010118,0.010761057,0.09522685,0.035268139,0.024536253,0.072076875,0.013046499,0.007017573,0.012941943,0.015046928,0.002649619,0,0.008534902,0.025409716,0.025595547,0.010135222,0.015692552,0.017324784,0.005752652,0.016077745,0.013889112,0.039459926,0.014764048,0.030839448,0.02374918,0.01030937,0,0.00874459,0.04187804,0.023685318,0.007347572,0.012618464,0.005698021,0.007382019,0.003663008,0.002012298,0.001808646,0.003091989,0.016231195,0.006238323,0.015331311,0.016807118,0.006557401,0.004078401,0.015892892,-0.012345836,0.00972455,-0.038315326,0.015,0.001,0.014
20190116,0.023167059,0.010280834,-0.001619434,-0.006825965,-0.01474953,-0.005221944,-0.007142888,-0.005020931,0.003773589,-0.015444322,0,-0.015693435,0.005097717,-0.001692525,0.001207001,-0.011919092,-0.015748357,-0.015891367,-0.025068457,0,0,0.007653099,0.002853069,-0.01920059,-0.008719833,0.002325196,0.001437546,0.001752849,-0.011414201,-0.005558295,0,0,0.007874056,-0.001618123,0.010380716,0.003237995,-0.003552402,-0.003338901,-0.006160184,0.034324743,0.009203605,0,-0.002522069,0,-0.004434597,0,0.004819286,-0.008337724,-0.019608471,-0.013986242,0.035383504,0,-0.003189795,-0.005589362,0.002547772,-0.00658981,-0.008196767,0,0.00404041,0,-0.003738322,-0.004089985,-0.00781254,0.046623316,-0.006535971,0,-0.014306396,-0.00881063,-0.005094255,-0.010362787,-0.003642991,-0.009029407,-0.005076153,0,0,0.001100716,-0.004872117,0.005042875,0,-0.002828856,0.00291121,-0.003418807,-0.007722046,-0.01348335,-0.008191971,-0.013544225,-0.003474236,-0.002028398,-0.004578996,0.006172859,-0.007662873,-0.011446138,-0.014510533,-0.011440582,-0.009615459,-0.004975135,-0.007547206,-0.003814372,0.008952611,-0.028685148,-0.013943338,-0.006410278,0.002894358,0.009132484,-0.001554002,0.006728369,0.00291121,0.000767754,0.016326893,-0.009992945,0,0.004069182,0.00315956,0.001266625,-0.00458848,-0.014049523,-0.008501043,0.001976285,-0.002688174,0,0.002270149,0.001863933,0.015293416,-0.024794659,-0.006269613,-0.010362787,0.007093552,-0.024273036,-0.006968669,-0.004018975,-0.004444452,0.00160385,0.001457859,-0.019629856,-0.007124712,0.004301082,0,-0.001325381,0,0.010695289,-0.006340282,0.013667639,-0.005012542,-0.014962873,0.022038394,-0.030131404,0.002588998,0.001746725,-0.016958012,-0.001793722,-0.009711059,0,-0.002836881,0.002556892,-0.0108894,0.001679262,0.001505646,-0.009587801,0.00191022,-0.028344297,-0.006920443,0.012930461,0.017433856,-0.005983156,-0.006141268,0.005115101,-0.004662013,-0.004987542,-0.023185907,-0.01837322,-0.046450298,0.004691174,0,-0.002713355,-0.003663008,-0.008524053,-0.001808646,-0.003091989,0.003571432,-0.004362737,-0.00415801,-0.004555817,0,0.011242389,-0.013864265,0,0.013310524,0.023256862,-0.037,-0.037,0
