Date;Close;High;Low;Open;Volume
2024-08-26;57494.30859375;58089.57421875;57029.88671875;57336.19140625;16826131344
2024-08-27;56321.13671875;57628.96875;56290.140625;57502.06640625;24794333199
2024-08-28;53237.3359375;56603.8125;51962.1875;56320.28515625;34985578636
2024-08-29;53060.8203125;54091.1875;52101.203125;53240.73046875;36216894051
2024-08-30;53598.01171875;55226.28125;53060.2734375;53060.67578125;29083150675
2024-08-31;53448.0234375;54040.52734375;52274.1640625;53598.390625;29194847697
2024-09-01;53315.74609375;53731.10546875;53130.9765625;53446.22265625;11214201177
2024-09-02;51903.12890625;53399.08203125;51800.2109375;53315.65625;22266274744
2024-09-03;53412.14453125;53677.03125;51684.05078125;51904.46484375;24429275142
2024-09-04;51982.25390625;54037.33984375;51976.953125;53406.46484375;24136933123
2024-09-05;52321.11328125;52798.265625;50391.5625;51981.64453125;32155085940
2024-09-06;50542.5859375;52616.2734375;50134.96875;52321.2578125;27926228591
2024-09-07;48645.58984375;51322.484375;47447.12890625;50542.31640625;44509439089
2024-09-08;48817.7578125;49447.5546875;48457.41796875;48645.890625;17187742401
2024-09-09;49466.16015625;49876.234375;48379.59375;48825.19140625;16477684792
2024-09-10;51668.25;52586.828125;49309.921875;49475.46875;31369187847
2024-09-11;52311.94140625;52625.76171875;51110.40234375;51668.76171875;26186164220
2024-09-12;52081.3046875;52624.3984375;50492.48828125;52313.37109375;33649403632
2024-09-13;52466.37109375;53060.16796875;52069.43359375;52081.3046875;30540651366
2024-09-14;54630.28515625;54699.484375;52003.33984375;52469.359375;29303759863
2024-09-15;54135.28125;54707.328125;53704.35546875;54628.31640625;14821341085
2024-09-16;53378.125;54483.9921875;52944.65625;54131.3203125;16343638904
2024-09-17;52287.5390625;53393.8984375;51691.578125;53380.28125;28782355555
2024-09-18;54212.37109375;55144.87109375;51809.76953125;52287.5390625;34226777263
2024-09-19;55470.0390625;55482.984375;53269.66015625;54212.78515625;36881876814
2024-09-20;56401.0078125;57247.20703125;55652.5;55471.3671875;38272700040
2024-09-21;56546.0234375;57419.0390625;55883.73828125;56401.875;31477054203
2024-09-22;56752.01171875;56884.96875;56184.28515625;56538.296875;12898809369
2024-09-23;57039.23828125;57330.30078125;55939.3984375;56753.76953125;18087449312
2024-09-24;56998.02734375;57982.625;56127.72265625;57034.2109375;28260853488
2024-09-25;57458.1171875;57821.80078125;56482.05859375;56995.359375;26751908408
2024-09-26;56733.80078125;57915.5234375;56549.12109375;57458.671875;22532796971
2024-09-27;58317.265625;58895.39453125;56273.87109375;56729.671875;32990278655
2024-09-28;58891.5234375;59435.66796875;58057.37109375;58316.9453125;28696965977
2024-09-29;58994.921875;59307.64453125;58593.77734375;58892.88671875;13648950558
2024-09-30;58764.40625;59177.38671875;58586.59765625;58996.0390625;13240139908
2024-10-01;56865.96484375;58764.1796875;56454.72265625;58763.828125;33325134809
2024-10-02;54983.45703125;57646.9296875;54388.77734375;56871.4453125;45388816903
2024-10-03;54892.1328125;56422.35546875;54310.67578125;54982.8359375;36903348604
2024-10-04;55060.4140625;55699.73828125;54243.96875;54891.86328125;32719806950
2024-10-05;56525.16015625;56909.765625;54787.6484375;55056.0859375;26943637745
2024-10-06;56537.92578125;56793.8671875;56181.01171875;56525.28515625;12115654225
2024-10-07;57261.046875;57374.73828125;56304.08984375;56533.41015625;13468906393
2024-10-08;56710.35546875;58705.3828125;56612.95703125;57261.1875;31212017518
2024-10-09;56609.6171875;57546.80078125;56373.99609375;56696.67578125;25633854870
2024-10-10;55368.1015625;56966.23828125;55130.99609375;56609.39453125;25289479266
2024-10-11;55127.66015625;56008.515625;53929.3984375;55367.9453125;27852447819
2024-10-12;57063.3828125;57958.8125;54931.09765625;55128.5390625;27713457550
2024-10-13;57746.859375;57980.578125;57061.72265625;57062.953125;15301053177
2024-10-14;57437.484375;57819.625;56682.0234375;57746.78515625;16611753637
2024-10-15;60539.99609375;60958.46484375;57170.7265625;57434.765625;40063196377
2024-10-16;61600.1171875;62219.6015625;59440.20703125;60543.8828125;44898127982
2024-10-17;62262.73046875;62771.87109375;61327.90234375;61601.36328125;35172918772
